DayOfWeek,Date,Sales,Open,Promo,SchoolHoliday,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c,dow_sin,dow_cos,Year_Normalized,day_year,day_year_sin,day_year_cos,is_weekend
6,2013-01-19,5440.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,19,0.321057654185271,0.9470596510722283,1
7,2013-01-20,11390.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,20,0.3373010691361842,0.9413968285264122,1
1,2013-01-21,8065.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,21,0.3534446712740877,0.9354554315134164,0
2,2013-01-22,6767.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,22,0.3694836834473831,0.9292372181882051,0
3,2013-01-23,7495.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,23,0.38541335945432564,0.9227440286201427,0
4,2013-01-24,6768.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,24,0.4012289854475009,0.9159777842484877,0
5,2013-01-25,6672.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,25,0.4169258813287287,0.908940487313808,0
6,2013-01-26,6010.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,26,0.4324994021339788,0.901634220265486,1
7,2013-01-27,7522.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,27,0.44794493940789115,0.8940611451454876,1
1,2013-01-28,5284.0,1,0,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,28,0.4632579225674917,0.88622350294858,0
2,2013-01-29,5100.0,1,0,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,29,0.4784338202547012,0.8781236129591848,0
3,2013-01-30,5050.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,30,0.49346814167723735,0.8697638720650646,0
4,2013-01-31,6358.0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,31,0.5083564379375122,0.8611467540480452,0
5,2013-02-01,5967.0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,32,0.5230943033491326,0.8522748088519838,0
6,2013-02-02,6180.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,33,0.5376773767406141,0.8431506618282,1
7,2013-02-03,13302.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,34,0.5521013427459208,0.8337770129585915,1
1,2013-02-04,8018.0,1,1,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,35,0.5663619330814524,0.8241566360566663,0
2,2013-02-05,7305.0,1,1,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,36,0.580454927809098,0.8142923779467267,0
3,2013-02-06,7125.0,1,1,1,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,37,0.5943761565849831,0.804187157621448,0
4,2013-02-07,6621.0,1,1,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,38,0.6081214998935418,0.7938439653781019,0
5,2013-02-08,6251.0,1,1,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,39,0.6216868902665479,0.7832658619336791,0
6,2013-02-09,5802.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,40,0.6350683134867438,0.7724559775191742,1
7,2013-02-10,11899.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,41,0.6482618097757122,0.7614175109532997,1
1,2013-02-11,5376.0,1,0,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,42,0.6612634749656386,0.7501537286959042,0
2,2013-02-12,5073.0,1,0,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,43,0.6740694616546161,0.7386679638813748,0
3,2013-02-13,5121.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,44,0.6866759803451553,0.726963615332308,0
4,2013-02-14,5417.0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,45,0.6990793005655562,0.7150441465537444,0
5,2013-02-15,5494.0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,46,0.7112757519738152,0.7029130847082615,0
6,2013-02-16,5275.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,47,0.7232617254437388,0.6905740195722293,1
7,2013-02-17,11931.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,48,0.7350336741329413,0.6780306024735382,1
1,2013-02-18,8467.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,49,0.746588114532413,0.6652865452111116,0
2,2013-02-19,7169.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,50,0.7579216274973472,0.6523456189565257,0
3,2013-02-20,7162.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,51,0.7690308592589181,0.6392116531380588,0
4,2013-02-21,6870.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,52,0.7799125224167177,0.6258885343075018,0
5,2013-02-22,7092.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,53,0.7905633969115482,0.612380204990065,0
6,2013-02-23,5349.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,54,0.8009803309782905,0.5986906625177214,1
7,2013-02-24,10245.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,55,0.8111602420785621,0.5848239578463322,1
1,2013-02-25,5187.0,1,0,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,56,0.8211001178128892,0.5707841943569036,0
2,2013-02-26,4786.0,1,0,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,57,0.8307970168121247,0.5565755266413303,0
3,2013-02-27,5374.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,58,0.8402480696078469,0.5422021592729844,0
4,2013-02-28,5970.0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,59,0.8494504794814806,0.527668345562516,0
5,2013-03-01,6052.0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,60,0.8584015232918917,0.512978386299228,0
6,2013-03-02,6374.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,61,0.8670985522812081,0.4981366284784055,1
7,2013-03-03,13081.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,62,0.8755389928586302,0.4831474640149687,1
1,2013-03-04,8860.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,63,0.8837203473619977,0.4680153284438345,0
2,2013-03-05,7592.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,64,0.8916401947968874,0.45274469960737107,0
3,2013-03-06,7161.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,65,0.8992961915530253,0.4373400963303323,0
4,2013-03-07,6910.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,66,0.9066860720977985,0.4218060770826634,0
5,2013-03-08,6426.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,67,0.9138076496466615,0.4061472386305789,0
6,2013-03-09,5099.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,68,0.9206588168102428,0.3903682146763026,1
7,2013-03-10,10462.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,69,0.9272375462179537,0.374473674486883,1
1,2013-03-11,5518.0,1,0,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,70,0.9335418911179212,0.35846832151248087,0
2,2013-03-12,5326.0,1,0,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,71,0.9395699859530622,0.342356891994542,0
3,2013-03-13,4816.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,72,0.945320046913132,0.3261441535642696,0
4,2013-03-14,5073.0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,73,0.9507903724625832,0.3098349038318025,0
5,2013-03-15,5869.0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,74,0.9559793438440766,0.2934339689665273,0
6,2013-03-16,5641.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,75,0.9608854255574977,0.27694620226893646,1
7,2013-03-17,12923.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,76,0.9655071658143364,0.2603764827344581,1
1,2013-03-18,8473.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,77,0.969843196967294,0.24372971360968387,0
2,2013-03-19,6945.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,78,0.9738922359149924,0.22701082094141847,0
3,2013-03-20,6704.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,79,0.9776530844816641,0.2102247521189836,0
4,2013-03-21,6341.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,80,0.981124629771712,0.19337647441020586,0
5,2013-03-22,6623.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,81,0.984305844499033,0.17647097349152166,0
6,2013-03-23,5759.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,82,0.9871957872910085,0.15951325197263655,1
7,2013-03-24,11431.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,83,0.9897936029670716,0.14250832791617088,1
1,2013-03-25,8338.0,1,1,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,84,0.992098522791769,0.12546123335273648,0
2,2013-03-26,7629.0,1,1,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,85,0.9941098647022418,0.10837701279187609,0
3,2013-03-27,7561.0,1,1,1,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,86,0.9958270335100595,0.09126072172931188,0
4,2013-03-28,9112.0,1,1,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,87,0.9972495210773451,0.07411742515094437,0
5,2013-03-29,13583.0,1,1,1,1,0,1,0,-0.9749279121818236,-0.2225209339563146,0.0,88,0.998376906467142,0.056952196034039754,0
6,2013-03-30,6928.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,89,0.9992088560679753,0.03977011384605572,1
7,2013-03-31,8929.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,90,0.9997451236925734,0.022576263041545485,1
1,2013-04-01,12129.0,1,0,1,1,0,1,0,0.7818314824680298,0.6234898018587336,0.0,91,0.9999855506507186,0.005375731557583884,0
2,2013-04-02,6012.0,1,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,92,0.9999300657962057,-0.011826390691832589,0
3,2013-04-03,5590.0,1,0,1,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,93,0.9995786855478958,-0.029025013321975237,0
4,2013-04-04,5364.0,1,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,94,0.9989315138848577,-0.046215046983708354,0
5,2013-04-05,5486.0,1,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,95,0.9979887423155984,-0.06339140486951038,0
6,2013-04-06,5218.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,96,0.9967506498213929,-0.08054900421874167,1
7,2013-04-07,10308.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,97,0.9952176027737294,-0.09768276782171598,1
1,2013-04-08,8193.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,98,0.9933900548258936,-0.11478762552212701,0
2,2013-04-09,6994.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,99,0.9912685467787256,-0.13185851571739118,0
3,2013-04-10,6555.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,100,0.9888537064205885,-0.1488903868564548,0
4,2013-04-11,6295.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,101,0.986146248341595,-0.16587819893463143,0
5,2013-04-12,7203.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,102,0.9831469737221499,-0.1828169249850199,0
6,2013-04-13,5347.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,103,0.9798567700958665,-0.1997015525660636,1
7,2013-04-14,10214.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,104,0.9762766110869321,-0.21652708524481437,1
1,2013-04-15,5492.0,1,0,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,105,0.9724075561219968,-0.23328854407545518,0
2,2013-04-16,5075.0,1,0,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,106,0.9682507501166718,-0.2499809690726521,0
3,2013-04-17,5223.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,107,0.9638074231367307,-0.26659942067929354,0
4,2013-04-18,4782.0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,108,0.9590788900341131,-0.28313898122818354,0
5,2013-04-19,5422.0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,109,0.9540665500578387,-0.2995947563972602,0
6,2013-04-20,5313.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,110,0.9487718864399473,-0.31596187665790293,1
7,2013-04-21,11263.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,111,0.9431964659565866,-0.33223549871590435,1
1,2013-04-22,8722.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,112,0.9373419384643772,-0.3484108069446808,0
2,2013-04-23,6862.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,113,0.9312100364121947,-0.3644830148102912,0
3,2013-04-24,6841.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,114,0.9248025743285089,-0.38044736628785164,0
4,2013-04-25,7082.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,115,0.9181214482844364,-0.39629913726891813,0
5,2013-04-26,6431.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,116,0.9111686353326631,-0.41203363695942635,0
6,2013-04-27,4875.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,117,0.9039461929224011,-0.42764620926777464,1
7,2013-04-28,11625.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,118,0.8964562582905575,-0.44313223418263453,1
1,2013-04-29,8667.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,119,0.8887010478292915,-0.45848712914008766,0
2,2013-04-30,8923.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,120,0.8806828564301475,-0.47370635037968,0
3,2013-05-01,11035.0,1,1,0,1,1,0,0,0.43388373911755823,-0.900968867902419,0.0,121,0.8724040568049612,-0.48878539428899265,0
4,2013-05-02,7578.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,122,0.8638670987837349,-0.503719798736334,0
5,2013-05-03,7118.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,123,0.8550745085896932,-0.518505144391157,0
6,2013-05-04,5849.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,124,0.8460288880917339,-0.533137056031809,1
7,2013-05-05,7796.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,125,0.8367329140344921,-0.5476112038402312,1
1,2013-05-06,5864.0,1,0,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,126,0.8271893372462497,-0.5619233046832195,0
2,2013-05-07,6106.0,1,0,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,127,0.8174009818249189,-0.5760691233798758,0
3,2013-05-08,6684.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,128,0.8073707443023492,-0.5900444739548627,0
4,2013-05-09,11502.0,1,0,0,1,1,0,0,-0.433883739117558,-0.9009688679024191,0.0,129,0.7971015927871943,-0.6038452208771035,0
5,2013-05-10,6306.0,1,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,130,0.7865965660866021,-0.6174672802835514,0
6,2013-05-11,5950.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,131,0.7758587728069828,-0.6309066211876704,1
7,2013-05-12,11219.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,132,0.7648913904341225,-0.6441592666722685,1
1,2013-05-13,8478.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,133,0.753697664392914,-0.6572212950663319,0
2,2013-05-14,7241.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,134,0.742280907086982,-0.6700888411055113,0
3,2013-05-15,7518.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,135,0.7306444969184916,-0.6827580970759147,0
4,2013-05-16,6641.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,136,0.7187918772884232,-0.6952253139408722,0
5,2013-05-17,6717.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,137,0.7067265555776158,-0.7074868024503348,0
6,2013-05-18,6214.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,138,0.6944521021088763,-0.719538934232584,1
7,2013-05-19,11092.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,139,0.6819721490904629,-0.7313781428679254,1
1,2013-05-20,13493.0,1,0,0,1,1,0,0,0.7818314824680298,0.6234898018587336,0.0,140,0.6692903895412567,-0.7430009249440493,0
2,2013-05-21,6595.0,1,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,141,0.6564105761979381,-0.7544038410927472,0
3,2013-05-22,6162.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,142,0.6433365204044917,-0.765583517007675,0
4,2013-05-23,5538.0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,143,0.6300720909843687,-0.7765366444428655,0
5,2013-05-24,6020.0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,144,0.6166212130956382,-0.7872599821916922,0
6,2013-05-25,6197.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,145,0.6029878670694714,-0.7977503570459932,1
7,2013-05-26,12705.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,146,0.5891760872322963,-0.8080046647350754,1
1,2013-05-27,8611.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,147,0.5751899607119775,-0.8180198708443174,0
2,2013-05-28,7450.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,148,0.5610336262283677,-0.8277930117131022,0
3,2013-05-29,6591.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,149,0.5467112728685939,-0.8373211953118121,0
4,2013-05-30,7108.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,150,0.5322271388474397,-0.8466016020976267,0
5,2013-05-31,8456.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,151,0.5175855102531889,-0.8556314858488706,0
6,2013-06-01,6182.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,152,0.5027907197793043,-0.8644081744776648,1
7,2013-06-02,13478.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,153,0.4878471454423119,-0.8729290708206411,1
1,2013-06-03,8938.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,154,0.47275920928627757,-0.881191653407483,0
2,2013-06-04,7130.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,155,0.4575313760742512,-0.8891934772070711,0
3,2013-06-05,6302.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,156,0.44216815196707204,-0.8969321743510065,0
4,2013-06-06,7179.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,157,0.42667408318992467,-0.9044054548343001,0
5,2013-06-07,6800.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,158,0.4110537546870351,-0.9116111071930239,0
6,2013-06-08,5338.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,159,0.3953117887649151,-0.9185469991587165,1
7,2013-06-09,11667.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,160,0.37945284372454435,-0.925211078289358,1
1,2013-06-10,5581.0,1,0,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,161,0.36348161248290634,-0.9316013725767187,0
2,2013-06-11,5419.0,1,0,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,162,0.3474028211842774,-0.9377159910299093,0
3,2013-06-12,5423.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,163,0.3312212278016865,-0.9435531242349544,0
4,2013-06-13,5314.0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,164,0.31494162072895193,-0.9491110448902284,0
5,2013-06-14,5701.0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,165,0.2985688173637202,-0.9543881083175908,0
6,2013-06-15,5393.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,166,0.2821076626819194,-0.9593827529490743,1
7,2013-06-16,13986.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,167,0.26556302780405594,-0.9640935007889755,1
1,2013-06-17,8475.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,168,0.24893980855376657,-0.9685189578512204,0
2,2013-06-18,8273.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,169,0.23224292400907015,-0.9726578145718654,0
3,2013-06-19,7715.0,1,1,1,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,170,0.21547731504673012,-0.976508846196619,0
4,2013-06-20,6442.0,1,1,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,171,0.19864794288017112,-0.9800709131432666,0
5,2013-06-21,6728.0,1,1,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,172,0.18175978759137534,-0.9833429613388902,0
6,2013-06-22,6071.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,173,0.16481784665719793,-0.9863240225317866,1
7,2013-06-23,13647.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,174,0.14782713347053048,-0.9890132145779883,1
1,2013-06-24,4998.0,1,0,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,175,0.13079267585675922,-0.9914097417023038,0
2,2013-06-25,5385.0,1,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,176,0.11371951458594969,-0.9935128947338007,0
3,2013-06-26,5683.0,1,0,1,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,177,0.0966127018812031,-0.9953220513156602,0
4,2013-06-27,5854.0,1,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,178,0.07947729992362097,-0.9968366760893436,0
5,2013-06-28,6708.0,1,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,179,0.062318379354325076,-0.998056320853012,0
6,2013-06-29,6587.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,180,0.04514101777397193,-0.9989806246941579,1
7,2013-06-30,14016.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,181,0.02795029824021032,-0.999609314096404,1
1,2013-07-01,9180.0,1,1,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,182,0.01075130776352193,-0.9999422030204416,0
2,2013-07-02,8255.0,1,1,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,183,-0.00645086419810515,-0.9999791929590823,0
3,2013-07-03,7238.0,1,1,1,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,184,-0.023651127245231586,-0.9997202729664083,0
4,2013-07-04,6630.0,1,1,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,185,-0.04084439154329611,-0.9991655196610109,0
5,2013-07-05,6344.0,1,1,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,186,-0.05802556932878035,-0.9983150972033183,0
6,2013-07-06,4684.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,187,-0.07518957641475855,-0.9971692572470178,1
7,2013-07-07,11606.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,188,-0.09233133369539122,-0.9957283388645872,1
